"InspectionProcessID","FlatCoilID","CoilNumber","RoughnessTHeadOSSeverity","RoughnessTHeadCenterSeverity","RoughnessTHeadDSSeverity","RoughnessTBodyOSSeverity","RoughnessTBodyCenterSeverity","RoughnessTBodyDSSeverity","RoughnessTTailOSSeverity","RoughnessTTailCenterSeverity","RoughnessTTailDSSeverity","RoughnessBHeadOSSeverity","RoughnessBHeadCenterSeverity","RoughnessBHeadDSSeverity","RoughnessBBodyOSSeverity","RoughnessBBodyCenterSeverity","RoughnessBBodyDSSeverity","RoughnessBTailOSSeverity","RoughnessBTailCenterSeverity","RoughnessBTailDSSeverity","RoughnessTHeadOSType","RoughnessTHeadCenterType","RoughnessTHeadDSType","RoughnessTBodyOSType","RoughnessTBodyCenterType","RoughnessTBodyDSType","RoughnessTTailOSType","RoughnessTTailCenterType","RoughnessTTailDSType","RoughnessBHeadOSType","RoughnessBHeadCenterType","RoughnessBHeadDSType","RoughnessBBodyOSType","RoughnessBBodyCenterType","RoughnessBBodyDSType","RoughnessBTailOSType","RoughnessBTailCenterType","RoughnessBTailDSType"
"967294","6212379","04W86N      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964447","6212387","01W86T      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964457","6212413","03W88C      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964467","6212490","04W88R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964473","6212531","03W88R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964479","6212560","01W90C      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964486","6212589","02W90B      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964487","6212590","03W89M      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964491","6212610","01W89M      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964492","6212611","02W89M      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964493","6212622","05W89M      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
